time_m,excess_return_2,excess_return_3,excess_return_4,excess_return_5,average_excess_return,risk_free_rate,forward_1_2,forward_2_3,forward_3_4,forward_4_5
1986-03,0.006828300542989385,0.015609238565409217,0.022506124579253634,0.026721825366437885,0.01791637226352253,0.06791051155848302,0.06882018849400606,0.07599092544499708,0.07867176356034986,0.07700657841715908
1986-04,0.0007019085749119108,0.004354883633354095,-0.0014288750081865864,-0.0053678484196843235,-0.00043498280490122596,0.06496896762201612,0.0690662170494401,0.07985805020817427,0.07702276640750341,0.07922225800208321
1986-05,0.006898483222398305,0.008647046675273204,0.017677655156855723,0.016126748503873675,0.012337483389600227,0.06816211723624167,0.0783775918699204,0.08299704078782333,0.09243883984845933,0.08340874321564501
1986-06,0.0030519091394665687,0.0024014826048106702,0.004716553867197229,-0.001877372369044325,0.0020731433106075357,0.06418493993590295,0.07146866839577846,0.07809170129514031,0.08415406713949072,0.07721445050617692
1986-07,-0.0019585342786216722,-0.0003192817178110999,-0.010235696143875712,-0.011884377364878441,-0.0060994723762967315,0.06196610634529746,0.06719682510558028,0.08238345260231311,0.07546463556258334,0.08265834082359402
1986-08,-0.008079458339669977,-0.021393646489353955,-0.03721329744478293,-0.054063580896197054,-0.030187495792500983,0.054979984632407934,0.06416921558806674,0.07113448632214592,0.0720327650640096,0.07004264334970339
1986-09,-0.010627493559457031,-0.025377755260198302,-0.036198872360972155,-0.054805105668919406,-0.03175230671238673,0.05823241333662801,0.06840682850180124,0.07502248196500877,0.08314862079064697,0.07935879163679266
1986-10,-0.0006190133731375155,-0.013583207615896438,-0.026011610592914076,-0.036819897290207106,-0.019258432218038784,0.05635097126035619,0.06688450368624363,0.0725631226504816,0.07568425705000834,0.08134913678960132
1986-11,-0.003886392032922334,-0.017801128635296662,-0.03126486515665648,-0.050784178754637074,-0.025934141144878138,0.0576314312887307,0.06512817601792292,0.06836967927223138,0.07440998728252723,0.07208525368792862
1986-12,-0.007105471399011173,-0.018202571269200427,-0.031753167316389844,-0.039624271286533605,-0.024171370317783762,0.060604718209976746,0.06531821039064954,0.06904290698437052,0.0707231809102491,0.08015628333193575
1987-01,-0.0023357724402763985,-0.008437012401869823,-0.013925038810842658,-0.02523181099364495,-0.012482408661658458,0.05888695059956604,0.06540582980765913,0.06950135007981752,0.07292873804777472,0.07069485808903303
1987-02,-0.00028371393287398433,-0.006292070195152731,-0.01103802205338849,-0.019195993178238106,-0.009202449839913328,0.060090279886699176,0.06579355155011068,0.06799331165411171,0.07231755264257794,0.07124475576579031
1987-03,-0.0012809653451263461,-0.006374965396915365,-0.014155338750852307,-0.02028685421450465,-0.010524530926849667,0.06199188795101667,0.06720998742257725,0.07177487754650544,0.07279087762997483,0.0794881232884403
1987-04,0.005492101690193499,0.006372909815051855,0.005471793870301625,-0.0015625430039409999,0.003943565592901495,0.0683643084745282,0.07620507514973208,0.0828065250490441,0.08316123141358095,0.0816312088784828
1987-05,0.00460248605628405,0.0036008964274007044,0.0014525316184933051,-0.005892743455397961,0.0009407926616950245,0.07147910864752209,0.08124847733494843,0.0834082313668768,0.08495964986862706,0.08505064699108045
1987-06,0.003650784307387009,0.003491818641190955,0.003756578231422239,0.004857693574734104,0.003939218688683577,0.0684167592563119,0.07874212782979621,0.08183899587710416,0.08380837674241848,0.0879728459268202
1987-07,0.0012700305762184394,0.00043885231672302627,-0.001467806563631685,-0.0032102260022816853,-0.0007422874182429762,0.06915535938420195,0.08074420004150254,0.08538104998864796,0.08430702204459675,0.08736699404327952
1987-08,0.0019183560661605314,0.00171255750028175,0.0009663895528846805,-0.0008443420570965615,0.0009382402655576001,0.07224867392773672,0.0844486744718299,0.08785241601943858,0.08689292680111751,0.09003376019309628
1987-09,0.010246844814519526,0.018794085159960047,0.03066817551417854,0.039652009535860996,0.024840278756129777,0.07903432206125828,0.08977274366575004,0.09396973789142082,0.09796502494473991,0.09452951546007121
1987-10,0.0065085988600867145,0.012116871888068148,0.02278635067687923,0.02414742976073994,0.01638981279644351,0.06750351705938115,0.08552731689324053,0.08811266002702597,0.09215742348689435,0.08555040430365546
1987-11,-0.002344589355417384,-0.0026694589951586495,0.0026824183406580354,0.004880164319315386,0.000637133577349347,0.06901456805084526,0.08228441587460571,0.08787372380388705,0.09160456728590921,0.09255867351342317
1987-12,-0.008576369739980272,-0.014539617859612275,-0.017390949473567535,-0.016924354509299383,-0.014357822895614866,0.07242368178966072,0.08014000685455977,0.08427377695743851,0.08802738730207951,0.09076864090400594
