,kytreasnox,mcaldt,tmnomprc,tmnomprc_flg,tmytm,,,,,
397,2000047,1985/7/31,92.17142193,D,8.152006088,,,,,
398,2000047,1985/8/30,92.30134147,D,8.033160094,,,,,
399,2000047,1985/9/30,92.29078018,D,8.022593918,,,,,
400,2000047,1985/10/31,92.52379495,D,7.770433185,,,,,
401,2000047,1985/11/29,92.61888883,D,7.688773685,,,,,
402,2000047,1985/12/31,92.79409602,D,7.47871687,,,,,
403,2000047,1986/1/31,92.72233752,D,7.57683647,,,,,
404,2000047,1986/2/28,92.90700204,D,7.37732931,,,,,
405,2000047,1986/3/31,93.43440828,D,6.791051156,,,,,
406,2000047,1986/4/30,93.70965433,D,6.496896762,,,,,
407,2000047,1986/5/30,93.41090261,D,6.834937884,,,,,
408,2000047,1986/6/30,93.7831541,D,6.418493994,,,,,
409,2000047,1986/7/31,93.99147434,D,6.196610635,,,,,
410,2000047,1986/8/29,94.65040924,D,5.468036609,,,,,
411,2000047,1986/9/30,94.34306561,D,5.823241334,,,,,
412,2000047,1986/10/31,94.52073371,D,5.650578413,,,,,
413,2000047,1986/11/28,94.39978114,D,5.731736344,,,,,
414,2000047,1986/12/31,94.11952036,D,6.060471821,,,,,
415,2000047,1987/1/30,94.28133476,D,5.904873056,,,,,
416,2000047,1987/2/27,94.1679515,D,5.976281231,,,,,
417,2000047,1987/3/31,93.98905112,D,6.182251264,,,,,
418,2000047,1987/4/30,93.39201766,D,6.836430847,,,,,
419,2000047,1987/5/29,93.10157276,D,7.08963976,,,,,
420,2000047,1987/6/30,93.3871193,D,6.82298298,,,,,
421,2000047,1987/7/31,93.31816903,D,6.934534972,,,,,
422,2000047,1987/8/31,93.02995258,D,7.205127485,,,,,
423,2000047,1987/9/30,92.400821,D,7.881838312,,,,,
424,2000047,1987/10/30,93.47244331,D,6.713565036,,,,,
425,2000047,1987/11/30,93.33130834,D,6.882600525,,,,,
426,2000047,1987/12/31,93.01367303,D,7.242368179,,,,,
427,2000047,1988/1/29,93.45019156,D,6.718936005,,,,,
428,2000047,1988/2/29,93.60585365,D,6.607726548,,,,,
429,2000047,1988/3/31,93.38019084,D,6.849095277,,,,,
